threshold,accuracy,precision,recall,f1,predicted_positive_count
0.1,0.8734177215189873,0.7560975609756098,1.0,0.8611111111111112,41
0.15,0.9493670886075949,0.8857142857142857,1.0,0.9393939393939394,35
0.2,0.9746835443037974,0.9393939393939394,1.0,0.96875,33
0.25,0.9746835443037974,0.9393939393939394,1.0,0.96875,33
0.3,0.9746835443037974,0.967741935483871,0.967741935483871,0.967741935483871,31
0.35,0.9620253164556962,0.9666666666666667,0.9354838709677419,0.9508196721311475,30
0.4,0.9620253164556962,0.9666666666666667,0.9354838709677419,0.9508196721311475,30
0.45,0.9493670886075949,0.9655172413793104,0.9032258064516129,0.9333333333333333,29
0.5,0.9493670886075949,0.9655172413793104,0.9032258064516129,0.9333333333333333,29
0.55,0.9367088607594937,0.9642857142857143,0.8709677419354839,0.9152542372881356,28
0.6,0.9113924050632911,1.0,0.7741935483870968,0.8727272727272727,24
0.65,0.8987341772151899,1.0,0.7419354838709677,0.8518518518518519,23
0.7,0.8860759493670886,1.0,0.7096774193548387,0.8301886792452831,22
0.75,0.8860759493670886,1.0,0.7096774193548387,0.8301886792452831,22
0.8,0.8734177215189873,1.0,0.6774193548387096,0.8076923076923077,21
0.85,0.8607594936708861,1.0,0.6451612903225806,0.7843137254901961,20
0.9,0.8354430379746836,1.0,0.5806451612903226,0.7346938775510204,18
